"GEOID","ICEincome","ICEraceeth","ICEhome","ICEincwb","ICEincwnh","ICEedu","ICElanguage"
"72834",-0.0716284275321768,0.737358200346087,0.443760492445439,0.105484051482932,0.0828203693340795,-0.0545030603322646,0.631881427707199
"72845",-0.0146341463414634,0.869781312127237,0.88780487804878,0.148780487804878,0.121951219512195,-0.0604890604890605,0.719751809720786
"72860",-0.0740740740740741,0.724907063197026,0.851851851851852,0,0,0.323076923076923,0.724907063197026
"72901",-0.214512422020357,0.499466035195245,-0.180693882018168,0.0507825325599212,-0.00240779249206523,-0.0543170681206432,0.662966851657417
"72921",-0.0261462675255779,0.897516206570034,0.549071618037135,0.159340659340659,0.154035619552861,0.0258298527148824,0.953302253302253
"72923",-0.0638414969730325,0.886577315463093,0.155751238304898,0.173362685745735,0.135938359933957,0.173374613003096,0.896674335912989
"72940",0.12843137254902,0.923321554770318,0.788235294117647,0.333333333333333,0.32156862745098,0.0355787476280835,0.967858432647165
"72745",0.156313438895656,0.704253640341439,0.355663824604141,0.246447421843281,0.218229801055623,0.134299626316385,0.692194174757282
"72824",-0.0837988826815642,0.678747940691928,0.359404096834264,0.0614525139664804,0.0037243947858473,-0.184842883548983,0.753183747725894
"10994",0.687072243346008,0.768253109789075,0.908745247148289,0.619011406844106,0.5893536121673,0.514280415430267,0.789400278940028
"10536",0.716671305315892,0.860732097487532,0.810186473698859,0.723907598107431,0.709156693570832,0.645498165396557,0.871460984512183
"10541",0.466335540838852,0.844838721933057,0.679690949227373,0.506622516556291,0.46832229580574,0.309100039055962,0.73330640274692
"10594",0.603737113402062,0.733988212180747,0.654639175257732,0.634020618556701,0.582474226804124,0.383826879271071,0.707862861835352
"10566",0.0966157787979075,0.0696376509787588,-0.0848724244688801,0.111882139425643,0.0213515533255044,0.0974222661803796,0.273847537665842
"10573",0.305695746214852,0.387211459192086,0.079868621325002,0.348393815589201,0.201794440438997,0.158609183634778,-0.0132272228320527
"10583",0.651942828413417,0.705759956916599,0.717733247145012,0.598075127486892,0.549522373051785,0.766102068560091,0.686384829777812
"10704",0.220176730486009,0.435280749928984,0.106365570283096,0.24750450008182,0.168384879725086,0.206691029322196,0.381821208589978
"10706",0.573209718670077,0.786647827622748,0.596547314578005,0.584718670076726,0.570971867007673,0.713138075313808,0.794279290532101
"10920",0.546243739565943,0.653002754820937,0.692153589315526,0.494824707846411,0.440066777963272,0.348164627363737,0.687954545454545
"10921",0.412652767792955,0.720924127067472,0.476635514018692,0.383896477354421,0.345075485262401,0.209834834834835,0.733460386604955
"10930",0.663926002055498,0.565623342175066,0.81294964028777,0.550531003768414,0.479958890030832,0.368509777478085,0.736190897039328
"10954",0.451162230519089,0.447036762461297,0.514633265084909,0.372997711670481,0.32409972299169,0.423635066016415,0.573907755636636
"10962",0.511015583019882,0.636890951276102,0.674368619022031,0.432563138097797,0.412681354110693,0.413053505535055,0.718117321335871
"10973",0.480503144654088,0.72892295280355,0.534591194968553,0.382389937106918,0.382389937106918,0.250972762645914,0.859832635983264
"10975",0.425742574257426,0.395,-0.0891089108910891,0.425742574257426,0.099009900990099,0.456896551724138,0.32
"10976",0.175561797752809,0.637221269296741,0.157303370786517,0.330056179775281,0.245786516853933,0.324010914051842,0.535242290748899
"10996",0.700571428571429,0.633401221995927,-0.979428571428571,0.610285714285714,0.593142857142857,0.761709601873536,0.759909202025493
"10535",0.459016393442623,1,-0.180327868852459,0.459016393442623,0.459016393442623,0.127147766323024,0.948717948717949
"10007",0.767309064953605,0.605291576673866,-0.279086366880799,0.705924339757316,0.650963597430407,0.75796178343949,0.642644431209053
"10019",0.321431302087316,0.497494395358038,-0.569844789356984,0.377016591482529,0.257015062313633,0.687229660144181,0.502843419353377
"10020",NA,NA,NA,NA,NA,NA,NA
"10021",0.45903488614999,0.81093044263776,-0.138667223730938,0.505619385836641,0.474326300396908,0.775381378221988,0.721729755630091
"10038",0.247012713889685,0.409120157865385,-0.481120351782812,0.32807570977918,0.126278558455215,0.417293881068658,0.522477433193315
